"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0100000591.mm.2";4,84978154220625;4,52137057674358;4,93458387971852;5,41680681602331;5,27456973483657;4,53144127611246;6,1290326718767;4,87752600000682;5,72128876302707;5,37131866634143;4,95698905231804
"TC0300000913.mm.2";5,12472512414123;5,47367347360541;5,21255144167417;6,46836438107734;5,35691937097379;5,20838303021804;5,43559754865789;5,59164168382325;5,44659051146139;5,80516725653265;5,86351079177241
"TC0700002304.mm.2";2,14498377012504;2,07701720912867;2,4806075998004;2,36819298569313;2,04472096088777;2,4047543483365;2,69657146955737;2,1923049122519;2,61853494916908;1,7242208048437;2,72446465820862
"TC0700002528.mm.2";2,50348637491431;2,70935680525299;2,77922933642869;3,39451569575824;3,18461763778627;3,66367060265188;2,89654226057101;2,30355486846353;2,79217690113446;2,6023247937809;3,11211922875856
"TC0700002571.mm.2";2,22071433626913;2,29903711282677;2,68280762742322;2,22597663192017;2,89066050672154;2,35964756467952;1,97144783026961;2,25216387684159;2,91904811922467;2,51997480883824;2,89458672981754
"TC0700000353.mm.2";2,21178699913036;1,98351963970786;2,52006050590819;1,92584252498085;1,84437188084765;1,99923313208255;2,66555853228694;1,73888903969002;2,67454483029083;1,80291154192109;1,62077653094649
"TC0700004360.mm.2";5,27296466105604;5,82806794777259;6,0290382846157;6,00966082099804;5,88704747428419;6,29954118008345;5,51110886599877;5,53197425537776;5,67887769834888;5,7727357479522;6,06343277071435
"TC1000003198.mm.2";2,73591501933804;2,96302549855413;2,39313182893781;3,42574855500867;2,46821237932061;2,94627412800273;3,4072084453137;2,49621852994935;2,98926842167992;2,63137672625808;2,62101963837999
"TC0X00001965.mm.2";3,88235657539357;3,44827304159492;2,90446186198896;3,03440071784161;3,17805521321206;3,75544744467589;3,36817167464912;3,04110137955767;3,42229476927453;3,10262376069702;3,06908574338704
"TC0700000470.mm.2";4,27877328264808;4,15881024433397;4,86624906202022;4,6783171444663;4,38095123764548;4,46524767542655;3,91657556048608;4,36687334566376;4,82582316970845;4,63551130540057;4,7011547886705
"TC0200001745.mm.2";6,6247243501991;6,81657051745236;6,92642570288233;7,1312507043743;6,34325186501015;6,69860677346479;7,07093372210122;6,53578694030257;5,99712018014679;6,21910876063838;6,7225151272383
"TC1700000806.mm.2";1,78004389701019;2,1446263912062;2,09710540152744;2,49335115781391;1,5194677417608;2,35559415027921;1,87890773367315;1,89595358739827;2,2444169262565;1,87962041557377;2,2322852262625
"TC1700002128.mm.2";4,46493290739418;3,73553889773138;3,53443475771848;3,87221883811952;3,71095558406884;3,18257603753256;3,95218728689881;3,63193273738934;4,11984628907516;3,56340842740088;4,28305405790609
"TC1700000580.mm.2";7,47622907188794;7,35227433959414;7,48630258018045;7,45458055870206;7,09068244213477;7,27838318707147;6,73714846298751;7,30174902717546;6,60451028935781;7,5212674212868;6,80489113136531
"TC0700000319.mm.2";2,23965069130324;2,70220161800071;2,59213649230114;2,48237236554891;2,29835145328101;3,12138895101219;1,85387420568797;3,15274097944362;2,63418335352707;2,32666396655671;2,50212037733872
"TC1700002404.mm.2";2,06896551997164;2,01243172479084;1,72716171790351;2,60315652334474;2,40014048566862;1,99140985221625;2,30596025657551;2,28854682579397;2,41978079461654;2,49345638310164;2,79857109928688
"TC0700004561.mm.2";4,51485469492921;4,26675140888659;3,59932571992225;3,981427704304;4,29151439334589;4,70517133763231;5,06490965224075;4,31588651767334;4,76365184940119;4,65845058828921;3,88490837416564
"TC0200002709.mm.2";3,15010317797625;2,72920447446159;3,08715669408893;2,20098379411799;2,68874692607871;2,70393943507734;3,25948472601918;2,26534392800897;2,68874692607871;3,03543558328468;2,69268140683649
"TC0700002684.mm.2";5,49921693433913;5,51428527626455;5,4893351215234;6,08142725651485;5,07146906771332;4,8789288379825;5,44120514466198;5,54097235619171;6,02050369236474;4,78661999300183;5,11961111449119
"TC1400001222.mm.2";4,05752828445738;2,44098033048817;3,0154502982449;4,20758859728278;2,99882073959982;3,13314246056547;3,67835878229498;3,39567826047596;3,50579190641219;3,11882272036314;3,34930577916513
"TC1400001224.mm.2";4,24005522254916;3,70650656631432;3,7178377790565;4,14869008388816;3,53806968866825;3,86266818330032;4,51117471872552;4,04433309191036;4,54220500824516;3,8913186983804;4,21416527781681
"TC0700000629.mm.2";4,30017412810117;3,72363875728139;4,38148757766868;4,32199453217786;4,75209689281376;4,06918589695466;5,3056208453626;3,63195898629021;4,16248691263197;3,53918791119601;4,56673737024861
"TC1700002661.mm.2";4,22452795511182;3,92852712348384;3,59172641978341;3,48027636933893;4,07767944318874;4,38094558247824;4,90134147218772;4,15047918247591;4,22855533199168;3,69484148180998;4,47501771814345
"TC0800003219.mm.2";6,21085736493897;6,21472270905884;6,98234288733977;6,27980808302702;7,06856055467545;6,75679878759434;6,72942951060917;6,60725269343449;6,90724871878678;6,08250083454763;5,89065388889758
"TC0400002107.mm.2";4,20249104842021;3,50370510984667;3,66985705065506;4,0597363033742;3,92220410330218;4,02945409859736;4,57358137006675;3,53709326585468;3,91360735356548;4,3725687077364;4,47610750706423
"TC1600001658.mm.2";3,18644367190288;2,58742872886293;2,1939419910957;1,83752163317678;2,73579419127564;2,3213981156513;2,74183620448259;2,89168690342559;3,23067098809861;2,72804053495963;2,1262175292345
"TC0400004088.mm.2";6,28256880704723;6,44681369305413;5,99288397742025;5,82129866757579;6,12565356001592;6,42732202946248;6,11208578721961;6,10923676678458;5,91322451465173;5,4005919109557;6,57008583795065
"TC0100000356.mm.2";3,58800553806;4,44239304930013;4,39161929440532;3,62848373428557;4,81885714679167;4,12232315142186;4,74127464887424;4,12137016673699;3,52043771801736;3,90471346540162;4,02172356106596
"TC0400000498.mm.2";8,95235108644118;9,01608918466784;8,92315754914157;9,51715322513828;8,94428645282367;9,16223709975688;8,54301576429805;8,85790138549121;8,59985144768174;8,57388787132323;8,45234068292663
"TC0100001833.mm.2";6,12660120517942;5,91262726274087;5,98749159706022;6,53144689773656;6,33808146622118;6,43174043183255;5,93342129671824;6,6052515040531;6,00980816393594;6,06865862508751;6,36789878047092
"TC0300002078.mm.2";2,56582669631108;2,14996976250888;2,1410463732882;2,77486221980678;2,1150774949857;1,73028111495336;2,27312821186944;1,95795772212193;1,85006219641299;2,65406822640003;1,98716535058331
"TC0800002561.mm.2";4,63480982074532;5,25592515258277;3,61051359864294;4,97452948452355;4,26801248851969;5,2215751257049;4,47997523300758;5,24276657144184;4,59981634021556;4,56816017887315;4,73022264747985
"TC1700000815.mm.2";2,09812578549395;2,33916732692713;2,45453617151918;2,96758570310297;2,27849170800459;2,6277804570183;3,00122797494382;2,51741384085487;2,9652788012401;2,14385882482867;2,35852071906699
"TC1700000814.mm.2";1,91596943285932;1,82117806904398;1,85728383594396;2,30708474017489;1,70833184020862;1,52341261727146;2,34058186314726;1,67017356411019;2,50639993184972;1,84945420179261;1,70013898222883
"TC0X00003392.mm.2";3,05429679025613;3,28110365448291;3,56873288544189;3,4703707999162;2,98152676882556;3,12319742390184;3,25095716601101;3,08965811880397;3,52268172835448;3,59617474965204;3,38389166839557
"TC0400003670.mm.2";7,56829872116815;8,04462124417947;7,84671019152789;7,79681435873561;8,04155331699613;8,23643649963543;8,5366347996521;8,2796326081576;8,46161746924812;7,56398372116796;7,99050809523161
"TC1700002349.mm.2";4,86930356753176;5,65785566905825;5,72474083178017;6,41074854736819;5,9375293998595;6,17310223500705;5,55508833411015;5,51749525953306;5,69710306246868;5,19808734285447;4,94997051946593
"TC0700000755.mm.2";4,22209365123438;4,20236796373409;3,57845792670041;3,45700355539581;4,02740591186361;3,79940564127676;2,75526413117342;3,15726946594886;3,84087827937487;3,46605901933659;3,84387545614301
